image,dist_to_nearest_train_cam,psnr,ssim,lpips
DJI_20241229104028_0263_V,0.5762712804677972,21.283285469593032,0.6751606,0.12764893472194672
DJI_20241229104030_0265_V,0.6832803459379536,20.997556746373437,0.70420676,0.13234758377075195
DJI_20241229104033_0268_V,0.591514115221317,21.058733258307107,0.7249651,0.133692666888237
DJI_20241229104046_0275_V,0.17310984559289683,20.911140916603475,0.70737237,0.11928001791238785
DJI_20241229104049_0278_V,0.6218651036157496,21.06751932514481,0.6825495,0.14681373536586761
DJI_20241229104054_0283_V,0.8806908266818336,20.702261101622355,0.686825,0.13217972218990326
DJI_20241229104107_0290_V,0.2228885127151456,19.828118662008517,0.6640835,0.14184553921222687
DJI_20241229104159_0332_V,0.1852097432114889,20.15401221222287,0.62699825,0.1319379061460495
DJI_20241229104214_0339_V,0.08047870698679949,20.606278213527904,0.63106555,0.15762248635292053
DJI_20241229104215_0340_V,0.07321636458048845,20.768127037550688,0.5757234,0.139183908700943
DJI_20241229104217_0342_V,0.39116228067416503,19.911735666060334,0.58243793,0.16691695153713226
DJI_20241229104240_0359_V,0.3767461474748057,20.58536642043144,0.5917132,0.16158699989318848
DJI_20241229104241_0360_V,0.5060418378736452,19.375948713447656,0.567926,0.18415936827659607
DJI_20241229104247_0366_V,0.17944639765252568,20.267558628033267,0.6250227,0.14820906519889832
DJI_20241229104248_0367_V,0.16028814755880377,20.592252286103143,0.6352784,0.14644381403923035
DJI_20241229104258_0370_V,0.7533032965111582,20.488655660453023,0.657487,0.14915603399276733
