image,dist_to_nearest_train_cam,psnr,ssim,lpips
DJI_20241227155326_0006_V,0.48147714668519886,20.885881717176357,0.69693327,0.1349286139011383
DJI_20241227155339_0019_V,0.2422369228656536,21.49756202685058,0.70108694,0.13202238082885742
DJI_20241227155343_0023_V,0.30941448060325666,21.966043565439506,0.7250581,0.1349729299545288
DJI_20241227155345_0025_V,0.37093814084552706,22.373956351330044,0.71583796,0.1260959506034851
DJI_20241227155352_0032_V,0.9658980564885298,22.01640341607931,0.70291215,0.1359185129404068
DJI_20241227155353_0033_V,0.4959000633968226,21.680423239006593,0.69523793,0.1317746341228485
DJI_20241227155411_0039_V,0.40230998607510804,21.092752056684727,0.64276665,0.20453576743602753
DJI_20241227155413_0041_V,0.29027565113542997,20.942833988051767,0.6093564,0.2138051986694336
DJI_20241227155416_0044_V,0.28957307344441474,21.471264107645815,0.65057844,0.19761569797992706
DJI_20241227155417_0045_V,0.47796371099698337,21.670146690538004,0.65543073,0.19080379605293274
DJI_20241227155431_0059_V,0.2872067118890179,19.608556571446037,0.62742907,0.19279994070529938
DJI_20241227155432_0060_V,0.5352280798919492,19.38389085543038,0.6180119,0.20160773396492004
DJI_20241227155433_0061_V,0.27437689305738505,20.154524032224437,0.63234,0.18852660059928894
DJI_20241227155438_0066_V,0.14528611462002552,21.579259191241675,0.6895766,0.1783527135848999
DJI_20241227155450_0072_V,0.4447061883756777,22.230846776810846,0.6833952,0.18092064559459686
DJI_20241227155507_0089_V,0.4713732936363444,20.532983287726335,0.6784032,0.1677534282207489
DJI_20241227155533_0101_V,0.1087095000450709,21.641698618947103,0.7241657,0.14852508902549744
DJI_20241227155536_0104_V,0.45531054756203787,21.77554229583023,0.6879699,0.16830554604530334
DJI_20241227155543_0111_V,0.4452983249034099,21.101984513535395,0.6731396,0.176931232213974
DJI_20241227155545_0113_V,0.41143123420450556,20.530463761195907,0.6440071,0.20283234119415283
DJI_20241227155546_0114_V,0.854112954008139,20.36460517554918,0.6355105,0.21576331555843353
DJI_20241227155547_0115_V,0.4429527491045766,21.146013413315103,0.65985614,0.20991405844688416
DJI_20241227155552_0120_V,0.4547355989482743,22.131084289579405,0.65504164,0.17826078832149506
DJI_20241227155556_0124_V,0.4727372371310705,21.711023420763457,0.6483914,0.19976642727851868
DJI_20241227155557_0125_V,0.4767873995693229,21.63490412997977,0.6521778,0.18293580412864685
DJI_20241227155715_0174_V,1.2685576885043333,22.03622499784187,0.7310315,0.11708822846412659
DJI_20241227155730_0189_V,1.2604721663372624,23.27543506656675,0.75393134,0.10747326910495758
DJI_20241227155740_0199_V,0.21440666034018058,21.854649251589855,0.72661823,0.11852136999368668
DJI_20241227155741_0200_V,0.14309133771840066,22.008461188972124,0.7217296,0.11882781237363815
DJI_20241227155753_0204_V,1.5027682003383376,21.22699937213591,0.7152111,0.12939581274986267
DJI_20241227155754_0205_V,1.470611083738706,21.75363880825396,0.72402936,0.12714265286922455
DJI_20241227155809_0220_V,1.5796387640465792,22.017713455217237,0.7202928,0.12463721632957458
DJI_20241227155810_0221_V,1.5039677357345875,21.62338721429215,0.7238338,0.1326918601989746
DJI_20241227155847_0234_V,1.003213483376164,22.72440020683756,0.70645934,0.12488013505935669
DJI_20241227155849_0236_V,0.21577910349505142,22.224108150502136,0.69765717,0.14628545939922333
DJI_20241227155850_0237_V,0.195250594880308,21.867300104203654,0.69028527,0.13367196917533875
DJI_20241227155906_0247_V,0.7522428865247164,21.226264113106716,0.6553641,0.15099233388900757
DJI_20241227155912_0253_V,0.5723726000246487,23.002072842314348,0.6871123,0.12089700251817703
DJI_20241227155914_0255_V,0.6881615695012402,22.872673743405354,0.7226829,0.12988778948783875
DJI_20241227155915_0256_V,0.6767784896874793,22.32188000890443,0.67796344,0.13640514016151428
DJI_20241227155927_0264_V,0.6013441764706513,22.992368712763394,0.68962175,0.14295370876789093
DJI_20241227155930_0267_V,0.5528423699417019,22.102848925511655,0.6852214,0.15024791657924652
DJI_20241227155946_0279_V,0.5162491627477579,21.43689314388233,0.6383205,0.1358088254928589
DJI_20241227155948_0281_V,0.5238316057192092,21.712103795013476,0.6784144,0.1401679962873459
DJI_20241227155954_0287_V,0.5887912021878415,22.540786792995817,0.6683238,0.13022397458553314
DJI_20241227160006_0293_V,0.506802574339926,22.0195900307394,0.6894464,0.1441008448600769
DJI_20241227160018_0304_V,0.34701136795157284,22.69736673488857,0.6802271,0.1296994984149933
DJI_20241227160031_0313_V,0.33875982327130516,22.629987968732152,0.6910189,0.12136395275592804
DJI_20241227160044_0321_V,0.6716162120727674,21.35225610106498,0.66210157,0.1499304175376892
DJI_20241227160048_0325_V,0.5508062799254076,21.715250219933587,0.6750216,0.13647793233394623
